iter	Passed	Remaining
707	4812	1984
708	4818	1977
709	4824	1970
710	4831	1963
711	4838	1956
712	4844	1950
713	4850	1943
714	4857	1936
715	4863	1929
716	4870	1922
717	4876	1915
718	4883	1908
719	4889	1901
720	4896	1894
721	4902	1887
722	4909	1881
723	4916	1874
724	4923	1867
725	4929	1860
726	4936	1853
727	4943	1846
728	4949	1840
729	4956	1833
730	4963	1826
731	4970	1819
732	4976	1812
733	4984	1806
734	4991	1799
735	4997	1792
736	5004	1785
737	5011	1779
738	5018	1772
739	5024	1765
740	5031	1758
741	5037	1751
742	5044	1745
743	5051	1738
744	5058	1731
745	5064	1724
746	5071	1717
747	5077	1710
748	5084	1703
749	5090	1696
750	5097	1690
751	5104	1683
752	5111	1676
753	5118	1669
754	5125	1663
755	5132	1656
756	5139	1649
757	5145	1642
758	5152	1635
759	5158	1629
760	5165	1622
761	5174	1616
762	5181	1609
763	5188	1602
764	5195	1595
765	5201	1589
766	5208	1582
767	5215	1575
768	5222	1568
769	5228	1561
770	5235	1555
771	5242	1548
772	5248	1541
773	5255	1534
774	5262	1527
775	5269	1520
776	5275	1514
777	5282	1507
778	5288	1500
779	5295	1493
780	5307	1488
781	5318	1482
782	5326	1476
783	5332	1469
784	5338	1462
785	5345	1455
786	5352	1448
787	5358	1441
788	5365	1434
789	5371	1427
790	5378	1421
791	5385	1414
792	5391	1407
793	5398	1400
794	5405	1393
795	5412	1387
796	5418	1380
797	5425	1373
798	5432	1366
799	5440	1360
800	5446	1353
801	5453	1346
802	5460	1339
803	5466	1332
804	5473	1325
805	5479	1318
806	5486	1312
807	5493	1305
808	5499	1298
809	5506	1291
810	5512	1284
811	5519	1277
812	5526	1271
813	5533	1264
814	5540	1257
815	5547	1250
816	5553	1243
817	5560	1237
818	5567	1230
819	5573	1223
820	5580	1216
821	5587	1209
822	5593	1203
823	5601	1196
824	5608	1189
825	5615	1182
826	5622	1176
827	5629	1169
828	5635	1162
829	5642	1155
830	5648	1148
831	5655	1141
832	5661	1135
833	5668	1128
